id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
22079,e6793681-b4d2-4ccd-89f1-42136afd7e4e,2011-03-05,2011-03-05,,Central Time (US & Canada),1639,2011-06-19 00:59:34 UTC,2020-04-09 14:03:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/22079,https://static.inaturalist.org/photos/39522/medium.jpg,"Cache River, Illinois","",2,0,false,,"Cache River Wetlands, Johnson county, Illinois U.S.A.",37.3963461332,-88.8958740234,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
37344,180b5693-ea97-4bd6-9a1e-177249ec8a63,2011-10-26,2011-10-26,,Central Time (US & Canada),1639,2011-10-27 15:53:08 UTC,2020-08-20 00:51:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/37344,https://static.inaturalist.org/photos/62638/medium.JPG,Cache River,"",2,0,false,,"Near Belknap, Illinois, U.S.A.",37.3468931849,-88.9024829865,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
40442,34ec7e46-2489-4c3e-adea-cc0c43d6c56b,2011-11-26,2011-11-26,,Central Time (US & Canada),1639,2011-11-28 18:25:12 UTC,2020-08-20 00:51:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/40442,https://static.inaturalist.org/photos/66997/medium.JPG,Cache River,Poor pic- still haven't figured out the flash on this camera.,2,0,false,,"Near Belknap, Illinois, U.S.A. ",37.3468249514,-88.8960456848,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
41869,d4e9ed50-6154-4828-afd9-8e04cafe7102,2008-11-15,2008-11-15,,Central Time (US & Canada),1614,2011-12-11 02:09:18 UTC,2025-05-29 12:15:42 UTC,research,CC0,http://www.inaturalist.org/observations/41869,https://static.inaturalist.org/photos/69477/medium.JPG,"","Incredibly, I found this animal on a trail bordering forest and old pasture in mid-November.  There was snow on the ground in places.",4,0,false,,"Lewis County, Missouri",40.0374670514,-91.7525446415,,,,,,,,false,,,Small-mouthed Salamander (Ambystoma texanum),Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
52248,1e236844-e8a3-4b37-9afe-3e3ddf411f03,2012-02-15,2012-02-15,,Central Time (US & Canada),1639,2012-02-16 21:47:38 UTC,2020-08-20 00:51:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/52248,https://static.inaturalist.org/photos/82546/medium.jpg,Cache River,This girl was the largest Small-mouthed salamander I've seen.,2,0,false,,"Hawkins Road, Johnson county, Illinois, U.S.A.",37.3867991383,-88.9054012299,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
54592,a19c1fc4-33fe-4f7b-bdc6-76e2e5f9652f,2012-03-01,2012-03-01,,Central Time (US & Canada),1639,2012-03-02 05:17:11 UTC,2020-08-24 21:30:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/54592,https://static.inaturalist.org/photos/85616/medium.jpg,Cache River,Found two individuals.,2,0,false,,"Mermet Waterfowl Refuge, Massac county, Illinois, U.S.A.",37.2489091328,-88.843178512,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
58011,b7ab23c2-59e5-4f50-ac0b-df1cc6e55431,2011-05-06,2011-05-06,,Eastern Time (US & Canada),5245,2012-03-16 02:20:26 UTC,2017-10-06 16:40:40 UTC,research,CC-BY,http://www.inaturalist.org/observations/58011,https://inaturalist-open-data.s3.amazonaws.com/photos/90358/medium.JPG,"","",1,0,false,,"Delaware County, OH",40.3033098,-83.0361376,29210,,,,29210,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
58210,a68a7b5c-d3eb-4744-b96f-352c338fcd80,2012-03-07,2012-03-07,,Eastern Time (US & Canada),4172,2012-03-16 22:42:04 UTC,2019-08-13 13:34:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/58210,https://inaturalist-open-data.s3.amazonaws.com/photos/3120463/medium.JPG,"","5:54pm

found in vernal pool

hybrids occur in area but I identified this one as pure based on the fact that it is male",1,0,false,,"Ohio, US",41.718345433,-81.4620481995,263,,,,27754,obscured,,true,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
59894,c363cbe9-759c-40a2-9247-5b247763020a,2012-03-20,2012-03-20,,Central Time (US & Canada),5473,2012-03-25 03:29:35 UTC,2024-06-03 10:58:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/59894,https://inaturalist-open-data.s3.amazonaws.com/photos/92871/medium.jpg,"","",2,0,false,,"Missouri, US",38.8702459614,-92.2562699582,,,,,28181,obscured,,true,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
125736,45c68b59-77d2-45c3-a427-a9b7104cacfe,2008-03-03,2008-03-03,,Central Time (US & Canada),2098,2012-09-22 00:50:02 UTC,2017-04-24 03:40:25 UTC,research,,http://www.inaturalist.org/observations/125736,https://static.inaturalist.org/photos/177995/medium.jpg,"","",1,0,false,,"Brazoria County, US-TX, US",29.1204316447,-95.7836424624,,,,,,,,false,,,Small-mouthed Salamander,Ambystoma texanum,Small-mouthed Salamander,Amphibia,26745
