id,uuid,observed_on,user_id,quality_grade,license,url,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,species_guess
22079,e6793681-b4d2-4ccd-89f1-42136afd7e4e,3/5/2011,1639,research,CC-BY-NC,http://www.inaturalist.org/observations/22079,https://static.inaturalist.org/photos/39522/medium.jpg,"Cache River, Illinois",,2,0,"Cache River Wetlands, Johnson county, Illinois U.S.A.",37.39634613,-88.89587402,,,,,FALSE,Small-mouthed Salamander
37344,180b5693-ea97-4bd6-9a1e-177249ec8a63,10/26/2011,1639,research,CC-BY-NC,http://www.inaturalist.org/observations/37344,https://static.inaturalist.org/photos/62638/medium.JPG,Cache River,,2,0,"Near Belknap, Illinois, U.S.A.",37.34689318,-88.90248299,,,,,FALSE,Small-mouthed Salamander
40442,34ec7e46-2489-4c3e-adea-cc0c43d6c56b,11/26/2011,1639,research,CC-BY-NC,http://www.inaturalist.org/observations/40442,https://static.inaturalist.org/photos/66997/medium.JPG,Cache River,Poor pic- still haven't figured out the flash on this camera.,2,0,"Near Belknap, Illinois, U.S.A. ",37.34682495,-88.89604568,,,,,FALSE,Small-mouthed Salamander
41869,d4e9ed50-6154-4828-afd9-8e04cafe7102,11/15/2008,1614,research,CC0,http://www.inaturalist.org/observations/41869,https://static.inaturalist.org/photos/69477/medium.JPG,,"Incredibly, I found this animal on a trail bordering forest and old pasture in mid-November.  There was snow on the ground in places.",4,0,"Lewis County, Missouri",40.03746705,-91.75254464,,,,,FALSE,Small-mouthed Salamander (Ambystoma texanum)
52248,1e236844-e8a3-4b37-9afe-3e3ddf411f03,2/15/2012,1639,research,CC-BY-NC,http://www.inaturalist.org/observations/52248,https://static.inaturalist.org/photos/82546/medium.jpg,Cache River,This girl was the largest Small-mouthed salamander I've seen.,2,0,"Hawkins Road, Johnson county, Illinois, U.S.A.",37.38679914,-88.90540123,,,,,FALSE,Small-mouthed Salamander
54592,a19c1fc4-33fe-4f7b-bdc6-76e2e5f9652f,3/1/2012,1639,research,CC-BY-NC,http://www.inaturalist.org/observations/54592,https://static.inaturalist.org/photos/85616/medium.jpg,Cache River,Found two individuals.,2,0,"Mermet Waterfowl Refuge, Massac county, Illinois, U.S.A.",37.24890913,-88.84317851,,,,,FALSE,Small-mouthed Salamander
58011,b7ab23c2-59e5-4f50-ac0b-df1cc6e55431,5/6/2011,5245,research,CC-BY,http://www.inaturalist.org/observations/58011,https://inaturalist-open-data.s3.amazonaws.com/photos/90358/medium.JPG,,,1,0,"Delaware County, OH",40.3033098,-83.0361376,29210,29210,,,FALSE,Small-mouthed Salamander
58210,a68a7b5c-d3eb-4744-b96f-352c338fcd80,3/7/2012,4172,research,CC-BY-NC,http://www.inaturalist.org/observations/58210,https://inaturalist-open-data.s3.amazonaws.com/photos/3120463/medium.JPG,,"5:54pm

found in vernal pool

hybrids occur in area but I identified this one as pure based on the fact that it is male",1,0,"Ohio, US",41.71834543,-81.4620482,263,27754,obscured,,TRUE,Small-mouthed Salamander
59894,c363cbe9-759c-40a2-9247-5b247763020a,3/20/2012,5473,research,CC-BY-NC,http://www.inaturalist.org/observations/59894,https://inaturalist-open-data.s3.amazonaws.com/photos/92871/medium.jpg,,,2,0,"Missouri, US",38.87024596,-92.25626996,,28181,obscured,,TRUE,Small-mouthed Salamander
125736,45c68b59-77d2-45c3-a427-a9b7104cacfe,3/3/2008,2098,research,,http://www.inaturalist.org/observations/125736,https://static.inaturalist.org/photos/177995/medium.jpg,,,1,0,"Brazoria County, US-TX, US",29.12043164,-95.78364246,,,,,FALSE,Small-mouthed Salamander
127958,2a333725-464b-4fe3-9cd1-f8c5355c9599,5/10/2009,9531,research,CC-BY-NC,http://www.inaturalist.org/observations/127958,https://inaturalist-open-data.s3.amazonaws.com/photos/180885/medium.jpg,,,2,0,"Missouri, US",36.93489067,-90.00447131,1892,28476,obscured,,TRUE,Small-mouthed Salamander
134590,0afc2153-b07d-4158-b4e2-d0bd020e78c7,3/19/1988,9560,research,CC-BY-NC,http://www.inaturalist.org/observations/134590,https://inaturalist-open-data.s3.amazonaws.com/photos/187606/medium.jpg,,,2,0,Red River County,33.76263941,-94.99588007,2000,2000,,,FALSE,Small-mouthed Salamander
144371,d524c423-b225-4f2a-b9c4-51f8aa728c64,11/5/2012,1639,research,CC-BY-NC,http://www.inaturalist.org/observations/144371,https://static.inaturalist.org/photos/199520/medium.JPG,Cache River,,2,0,"Belknap Road, Illinois, U.S.A.",37.3440673,-88.91112133,,,,,FALSE,Small-mouthed Salamander
148805,910fb8bf-41ce-4530-bf43-74d880bcc3f5,2/9/2008,3288,research,,http://www.inaturalist.org/observations/148805,https://static.inaturalist.org/photos/205073/medium.JPG,,,4,0,"Lick Creek Park, Brazos County, Texas",30.561311,-96.2145984,1868,1868,,,FALSE,Small-mouthed Salamander
149079,76066c25-5800-4860-a6bf-26cc2ae28dc7,2/5/2005,9531,research,CC-BY-NC,http://www.inaturalist.org/observations/149079,https://inaturalist-open-data.s3.amazonaws.com/photos/205428/medium.JPG,,several salamanders out walking in the open on a warmer sunny afternoon,2,0,"Baker Wetlands, KS",38.92012,-95.2344983,1759,1759,,,FALSE,Smallmouth Salamander
189706,9c15fcf8-d1be-436d-8283-56ef491af120,1/28/2012,12756,research,CC-BY-NC,http://www.inaturalist.org/observations/189706,https://inaturalist-open-data.s3.amazonaws.com/photos/243955/medium.JPG,,Friends back yard.  Healthy breeding Population.,3,0,"Texas, US",32.59726091,-97.49127393,12,29093,obscured,,TRUE,Small-mouthed Salamander
214471,080078ea-fd55-4f9a-88e6-f58ce17b4535,3/10/2013,1639,research,CC-BY-NC,http://www.inaturalist.org/observations/214471,https://static.inaturalist.org/photos/270284/medium.JPG,Cache River,,2,0,"Hwy 45, Johnson county, Illinois, U.S.A.",37.35975409,-88.88724804,,,,,FALSE,Smallmouth Salamander
226308,27cefb1b-d534-46d0-a40a-781739064738,3/30/2013,1639,research,CC-BY-NC,http://www.inaturalist.org/observations/226308,https://static.inaturalist.org/photos/285024/medium.JPG,,,2,0,"Belknap Road, Illinois, U.S.A.",37.3424808,-88.9156489,3182,3182,,,FALSE,Smallmouth Salamander
228353,fa46f795-7dfe-42aa-a46f-5ef1c2b9d318,4/2/2013,2098,research,,http://www.inaturalist.org/observations/228353,https://static.inaturalist.org/photos/287400/medium.jpg,,Many crossing the road at this site ,1,0,"77418, Bellville, Texas, US",30.01861,-96.15329,5,5,,,FALSE,Small-mouthed Salamander
233755,4d77cca9-8e96-4daf-8351-fbcf47ca22c5,4/2/2013,12644,research,CC-BY-NC,http://www.inaturalist.org/observations/233755,https://static.inaturalist.org/photos/293882/medium.jpg,,Found crossing road between ago fields during big rainstorm,1,0,"11001–11433 Sandy Point Rd, Bryan, Texas, US",30.68933333,-96.52333333,,,,,FALSE,Small-mouthed Salamander
259986,26d050ef-194c-42ed-9654-a1f58339dab4,5/7/2013,8216,research,CC-BY,http://www.inaturalist.org/observations/259986,https://static.inaturalist.org/photos/322437/medium.jpg,,,1,0,"3822–3862 Easton Square Pl, Columbus, Ohio, US",40.0445,-82.91466667,,,,,FALSE,Small-mouthed Salamander
262235,0945371c-b4dc-4f27-a7a0-be3a0859de17,5/7/2013,14485,research,CC-BY-NC,http://www.inaturalist.org/observations/262235,https://static.inaturalist.org/photos/325069/medium.JPG,,,1,0,"Ohio, US",40.02123128,-82.98913362,8,28000,obscured,,TRUE,Small-mouthed Salamander
400936,d4ba7264-844f-4146-ba66-2d96e64b9516,3/10/2013,6003,research,CC-BY,http://www.inaturalist.org/observations/400936,https://static.inaturalist.org/photos/501997/medium.jpg,,,3,0,Ferges Illinois,37.795749,-88.964535,,,,,FALSE,Ambystoma texanum
402102,4bdf5fc1-c0f5-4b8e-8ca2-c2a649b17287,1/31/2013,6003,research,CC-BY,http://www.inaturalist.org/observations/402102,https://static.inaturalist.org/photos/503428/medium.jpg,,,2,0,"Route 127, Jackson County Illinois",37.674844,-89.32308,,,,,FALSE,Smallmouth salamander
430755,27c18bb3-b8a0-4e3b-a6ef-7e07801255a2,10/13/2013,13156,research,CC-BY-NC,http://www.inaturalist.org/observations/430755,https://inaturalist-open-data.s3.amazonaws.com/photos/542902/medium.JPG,,Single individual on top of park road on eastern end of Oxbow Lake.  Moderately heavy rainfall during the day.,4,0,Palmetto State Park,29.593536,-97.585791,5,5,,,FALSE,Small-mouthed Salamander
444675,44e89a7b-450c-4e03-8500-2b85f1592d58,10/30/2013,10766,research,,http://www.inaturalist.org/observations/444675,https://static.inaturalist.org/photos/559907/medium.jpg,,DOR,2,0,"Texas, US",30.5617135,-95.80157735,30,29356,obscured,,TRUE,Ambystoma texanum
444899,27864e84-55b0-4923-a915-4d43958c18d9,10/30/2013,10766,research,,http://www.inaturalist.org/observations/444899,https://static.inaturalist.org/photos/560171/medium.jpg,,AOR,1,0,"Texas, US",30.57229903,-95.90635767,30,29356,obscured,,TRUE,Ambystoma texanum
